region,n_residues,n_residues_involved,mean_degree_centrality,mean_betweenness_centrality,sum_degree_centrality,sum_betweenness_centrality,involvement_fraction,cluster
ECD,97,78,0.0023491388984483714,0.0031587815599961443,0.22786647314949202,0.306401811319626,0.8041237113402062,0
epitope,31,27,0.001919565522730465,4.899628390406745e-06,0.059506531204644414,0.0001518884801026091,0.8709677419354839,0
other,562,429,0.00347091302573744,0.0038836655282357877,1.9506531204644413,2.1826200268685128,0.7633451957295374,0
ECD,97,80,0.002289288225876438,0.0031717181871659165,0.2220609579100145,0.3076566641550939,0.8247422680412371,1
epitope,31,25,0.0020132028653026828,2.4498141952033727e-05,0.062409288824383166,0.0007594424005130455,0.8064516129032258,1
other,562,435,0.003553553812064522,0.003928653855527631,1.9970972423802613,2.207903466806529,0.7740213523131673,1
ECD,97,82,0.0024239522391632873,0.002821717829384253,0.2351233671988389,0.2737066294502726,0.845360824742268,2
epitope,31,27,0.0021068402078749005,2.5586948261013e-05,0.06531204644412192,0.0007931953960914031,0.8709677419354839,2
other,562,437,0.0035509712874918003,0.003991795841299228,1.9956458635703918,2.2433892628101657,0.7775800711743772,2
