region,n_residues,n_residues_involved,mean_degree_centrality,mean_betweenness_centrality,sum_degree_centrality,sum_betweenness_centrality,involvement_fraction,cluster
ECD,97,83,0.002738168270165936,0.002435568739929214,0.2656023222060958,0.23625016777313376,0.8556701030927835,0
epitope,31,19,0.0011704667821527224,2.994217349693011e-06,0.036284470246734396,9.282073784048334e-05,0.6129032258064516,0
other,562,450,0.003579379057791735,0.0065834176625333115,2.011611030478955,3.699880726343721,0.800711743772242,0
ECD,97,81,0.00261846692502207,0.0023639562864995185,0.2539912917271408,0.2293037597904533,0.8350515463917526,1
epitope,31,21,0.0012641041247249403,2.994217349693011e-06,0.03918722786647315,9.282073784048334e-05,0.6774193548387096,1
other,562,445,0.00347091302573744,0.00416682337037524,1.9506531204644413,2.341754734150885,0.791814946619217,1
