cluster,n_frames,n_nodes,n_edges,density,average_clustering,n_connected_components,largest_component_fraction,average_degree,max_degree
0,132,690.0,657.0530303030303,0.0027641531743253993,0.011409069996026469,205.22727272727272,0.446354852876592,1.9045015371102327,7.045454545454546
1,47,690.0,670.1914893617021,0.0028194252933749467,0.01117843560489254,198.5531914893617,0.4492753623188405,1.9425840271353685,8.0
2,122,690.0,679.688524590164,0.0028593783243522517,0.011459231352317547,193.97540983606558,0.45334996436208125,1.970111665478736,7.008196721311475
