region,n_residues,n_residues_involved,mean_degree_centrality,mean_betweenness_centrality,sum_degree_centrality,sum_betweenness_centrality,involvement_fraction,cluster
ECD,97,64,0.0014364161417263926,0.0009687076707726539,0.13933236574746008,0.09396464406494742,0.6597938144329897,0
epitope,31,21,0.0010768294395805047,2.7220157724481917e-07,0.033381712626995644,8.438248894589395e-06,0.6774193548387096,0
other,562,392,0.0026367575887484567,0.0029627553405279544,1.4818577648766327,1.6650685013767104,0.697508896797153,0
ECD,97,70,0.0014962668142983256,0.0006955843589505488,0.14513788098693758,0.06747168281820323,0.7216494845360825,1
epitope,31,21,0.0010768294395805047,2.7220157724481917e-07,0.033381712626995644,8.438248894589395e-06,0.6774193548387096,1
other,562,405,0.0026677478836211123,0.002782761303328387,1.4992743105950652,1.5639118524705535,0.7206405693950177,1
ECD,97,69,0.001571080155013242,0.001245849791000631,0.15239477503628446,0.12084742972706121,0.711340206185567,2
epitope,31,23,0.0012641041247249403,6.80503943112048e-07,0.03918722786647315,2.1095622236473488e-05,0.7419354838709677,2
other,562,405,0.0027581362436663584,0.003073311037906797,1.5500725689404935,1.72720080330362,0.7206405693950177,2
