region,n_residues,n_residues_involved,mean_degree_centrality,mean_betweenness_centrality,sum_degree_centrality,sum_betweenness_centrality,involvement_fraction,cluster
ECD,97,74,0.002034922867445723,0.0008954519860639088,0.19738751814223512,0.08685884264819915,0.7628865979381443,0
epitope,31,16,0.0008895547544360691,6.80503943112048e-07,0.027576197387518143,2.1095622236473488e-05,0.5161290322580645,0
other,562,409,0.002796874112257178,0.003526632979467117,1.571843251088534,1.9819677344605198,0.7277580071174378,0
ECD,97,72,0.001810482845300974,0.0008501031528360229,0.17561683599419448,0.08246000582509422,0.7422680412371134,1
epitope,31,16,0.0007959174118638513,1.3610078862240958e-07,0.02467343976777939,4.219124447294697e-06,0.5161290322580645,1
other,562,399,0.0026909906047756045,0.0029060582907879393,1.5123367198838897,1.6332047594228218,0.7099644128113879,1
